Dimension,FunctionID,Run,Algorithm,BestSolution,BestFitness
2,4,7,DE/rand/1/bin,"[76.98475832222918, 83.19267466570294]",-1.9899816998789905
2,4,7,DE/best/1/bin,"[-68.28715601263258, 76.93680449429762]",-1.6876881896589921
2,4,7,PSO,"[32.422936887405946, 32.83678675838215]",-1.8187824215651358
2,4,8,DE/rand/1/bin,"[56.85680490977976, -61.3018439642668]",-1.240222448990711
2,4,8,DE/best/1/bin,"[-91.83563109094837, -80.32688594709143]",-1.5245885469624727
2,4,8,PSO,"[-92.8498732968226, 32.91172962243687]",-1.9820750165898104
2,4,9,DE/rand/1/bin,"[51.481821704644744, -100.0]",-1.087440625081874
2,4,9,DE/best/1/bin,"[83.02702283674671, 1.5628060425972112]",-1.8036540242126848
2,4,9,PSO,"[77.0491193342781, -4.712388981973486]",-1.996793697410436
2,4,10,DE/rand/1/bin,"[45.470487647549476, 33.50421248768475]",-1.7897825989347556
2,4,10,DE/best/1/bin,"[96.70088937000239, 83.3412671867344]",-1.5369221346302044
2,4,10,PSO,"[-79.87890763492436, -99.18431402888532]",-1.9447918671410724
2,4,11,DE/rand/1/bin,"[20.71669824796068, 95.79285954800643]",-1.9353675606749468
2,4,11,DE/best/1/bin,"[-49.02144565791583, 95.92125611560945]",-1.9108633497227372
2,4,11,PSO,"[38.922910256522655, 39.081146306466714]",-1.9217019478280133
2,4,12,DE/rand/1/bin,"[-91.99704749054918, -100.0]",-1.0051423501080954
2,4,12,DE/best/1/bin,"[13.869563480966143, 58.41458876123477]",-1.8276916036627846
2,4,12,PSO,"[51.573593070930755, 89.60329323249807]",-1.9572404552976546
2,4,13,DE/rand/1/bin,"[-85.08264471486825, -100.0]",-0.5179039613365609
2,4,13,DE/best/1/bin,"[8.033323410189007, 32.61017629933574]",-1.775850312024846
2,4,13,PSO,"[-17.062868176976373, 95.89579653372697]",-1.9736673593826528
2,4,14,DE/rand/1/bin,"[83.26516711589626, -54.97777087704526]",-1.9070550978474583
2,4,14,DE/best/1/bin,"[39.549590806622234, 64.74717760830464]",-1.85145133062816
2,4,14,PSO,"[-67.4901349975488, 52.262438211396585]",-1.8904450918906268
2,4,15,DE/rand/1/bin,"[-23.61709694522438, -23.768190447780015]",-1.9139059465221457
2,4,15,DE/best/1/bin,"[-29.880503193278017, -29.35050573202149]",-1.4449525635740572
2,4,15,PSO,"[-92.47723353221343, -29.596079481466212]",-1.9485644264325355
2,4,16,DE/rand/1/bin,"[32.72382631110159, -100.0]",-1.2489788903037016
2,4,16,DE/best/1/bin,"[33.17886867378874, -80.87589668744147]",-1.4916557240279027
2,4,16,PSO,"[-5.048044613380285, 83.31174444204137]",-1.9067254441884465
2,4,17,DE/rand/1/bin,"[-86.57987171712395, 7.837107034145546]",-1.722371955266773
2,4,17,DE/best/1/bin,"[8.0092201486962, -92.2494259519194]",-1.854499190562933
2,4,17,PSO,"[89.38437075698762, 95.66394713485982]",-1.9621324263843976
2,4,18,DE/rand/1/bin,"[27.484032180715353, 20.052600034119507]",-1.5381353566183316
2,4,18,DE/best/1/bin,"[-35.476424125462856, -54.88971507236076]",-1.6307122291439837
2,4,18,PSO,"[83.26702257101974, -100.0]",-1.2832382927877866
2,4,19,DE/rand/1/bin,"[46.012789907123825, 1.5763279034303848]",-1.8756097744761289
2,4,19,DE/best/1/bin,"[70.70462225428321, 51.836125639145024]",-1.9632495541556776
2,4,19,PSO,"[-67.5625041632622, -100.0]",-1.2831813159735852
2,5,0,DE/rand/1/bin,"[-2.9035340362620943, -2.9035340374401017]",-78.33233140754285
2,5,0,DE/best/1/bin,"[2.645034379679857, -2.8774636010278294]",-64.0381296114222
2,5,0,PSO,"[-2.9035340310907576, -2.9035340352033296]",-78.33233140754285
2,5,1,DE/rand/1/bin,"[-2.9035340235091978, -2.903534040964091]",-78.33233140754285
2,5,1,DE/best/1/bin,"[-2.9039836379761614, -2.9035921322260148]",-78.33232785316426
2,5,1,PSO,"[-2.903534030135733, -2.90353403178433]",-78.33233140754285
2,5,2,DE/rand/1/bin,"[-2.903534030427032, -2.9035340165506933]",-78.33233140754285
2,5,2,DE/best/1/bin,"[2.7467683537340406, -2.903824267294364]",-64.1956108849572
2,5,2,PSO,"[-2.9035340178379956, -2.9035340488705446]",-78.33233140754284
